y, predicted
-1.476031893790123121e-03,-1.818886958062648773e-03
-1.376412277244605346e-03,-1.823098864406347275e-03
-1.266279653369729776e-03,-1.818859484046697617e-03
-1.159783702059660358e-03,-1.830760389566421509e-03
-1.671294341112698019e-03,-1.786426641047000885e-03
-1.507971356520993594e-03,-1.791993621736764908e-03
-1.412062658005105217e-03,-1.795904245227575302e-03
-1.483107056068821246e-03,-1.816496718674898148e-03
-1.713968484833997127e-03,-1.844293903559446335e-03
-1.511533920567260459e-03,-1.824901439249515533e-03
-1.429803648897847888e-03,-1.864790450781583786e-03
-1.522192046710553514e-03,-1.831477507948875427e-03
-1.419144789257378858e-03,-1.842042896896600723e-03
-1.490213063849235142e-03,-1.804360654205083847e-03
-1.575522003143068695e-03,-1.825301907956600189e-03
-1.685633134753691245e-03,-1.791943795979022980e-03
-1.397783328666828010e-03,-1.767092384397983551e-03
-1.589779029101596065e-03,-1.770678441971540451e-03
-1.511513963193366348e-03,-1.751324161887168884e-03
-1.422663387605890319e-03,-1.744772773236036301e-03
-1.511547690722027555e-03,-1.717749051749706268e-03
-1.500883465786655505e-03,-1.723848283290863037e-03
-1.195118960461436300e-03,-1.726758666336536407e-03
-1.337419375514238909e-03,-1.699125394225120544e-03
-1.575467403196254479e-03,-1.739524304866790771e-03
-1.412011954384767955e-03,-1.723660156130790710e-03
-1.458275273213061963e-03,-1.730101183056831360e-03
-1.657169548200021188e-03,-1.755802892148494720e-03
-1.621694927887498737e-03,-1.748354639858007431e-03
-1.408462088442045219e-03,-1.759855076670646667e-03
-1.582583255429783915e-03,-1.773171126842498779e-03
-1.763963843286052218e-03,-1.785513944923877716e-03
-1.604034885781115615e-03,-1.749231014400720596e-03
-1.564966578858236835e-03,-1.800014637410640717e-03
-1.465280741805586803e-03,-1.789071597158908844e-03
-1.554267445399997935e-03,-1.781724393367767334e-03
-1.586304335529661316e-03,-1.783936750143766403e-03
-1.447514427252771579e-03,-1.780588179826736450e-03
-1.340746693954462335e-03,-1.781438942998647690e-03
-1.415540748113850019e-03,-1.765153836458921432e-03
-1.582681829640722720e-03,-1.773608848452568054e-03
-1.497339945723832021e-03,-1.762288156896829605e-03
-1.475990408276757395e-03,-1.774675678461790085e-03
-1.426139102870507564e-03,-1.757058780640363693e-03
-1.493816235792111988e-03,-1.749835442751646042e-03
-1.575613583619469822e-03,-1.770244445651769638e-03
-1.561396322116196181e-03,-1.748627051711082458e-03
